Experiment,training epochs,dom A prob 0,dom A prob 1,dom B prob 0,dom B prob 1,batch size before sampling,batch size after sampling,function f, importance sampling,avg weight 0,variance,avg weight 1,variance,avg weight 0/1,avg batch-avg weight 0/1,avg unnorm weight 0,variance,avg unnorm weight 1,variance,avg unnorm weight 0/1,increase of 0,increase of 1,expected ratio 0/1, expected ratio 1/0
29082020093651,1,0.2,0.8,0.5,0.5,256,64,0,yes,0.0042553190141916275,0.0,0.0042553190141916275,0.0,1.0,1.0,16.7794132232666,0.0,16.7794132232666,0.0,1.0,2.5,0.625,4.0,0.25
01092020194854,4,0.2,0.8,0.5,0.5,256,64,4,yes,0.024232923984527588,8.572502083192823e-12,0.0038490667939186096,1.1907785847142804e-05,6.29579201452538,6.384244918823242,0.002862673718482256,1.1962722208224558e-13,0.0004546963900793344,1.661740469671713e-07,6.295791611591161,2.5,0.625,4.0,0.25
01092020195000,4,0.3,0.7,0.5,0.5,256,64,4,yes,0.011764707043766975,0.0,0.0117647061124444,0.0,1.0000000791624173,1.0,2.498253707017284e-06,5.361355707973775e-26,2.498253707017284e-06,8.419517371804517e-25,1.0,1.6666666666666667,0.7142857142857143,2.3333333333333335,0.42857142857142855
02092020174027,1,0.2,0.8,0.5,0.5,256,64,0,yes,0.018265649676322937,6.831585946797541e-16,0.0045660133473575115,1.5527326979736245e-07,4.000349601889319,3.985184669494629,254.93211364746094,1.3845038893123274e-07,63.72746276855469,30.246536254882812,4.0003493403357835,2.5,0.625,4.0,0.25
02092020174303,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.007246376946568489,0.0,0.007246376946568489,0.0,1.0,1.0,0.2745974361896515,0.0,0.2745974063873291,0.0,1.0000001085309682,2.5,0.625,4.0,0.25
02092020174450,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.0168071947991848,1.1740025001927279e-05,0.004920772276818752,0.0,3.415560374204218,3.3903675079345703,0.005117607302963734,1.088459384845919e-06,0.0014983214205130935,0.0,3.415560395052773,2.5,0.625,4.0,0.25
02092020175331,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.018217986449599266,7.555366664746543e-06,0.0051655531860888,3.3746006651594824e-19,3.526821967231233,3.557845115661621,5.502232306753285e-05,6.891798243202629e-11,1.5601108316332102e-05,1.72628995687456e-24,3.5268214252401826,2.5,0.625,4.0,0.25
02092020180319,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.007246376946568489,0.0,0.007246377412229776,0.0,0.9999999357387477,1.0,0.03155628964304924,0.0,0.03155628964304924,0.0,1.0,2.5,0.625,4.0,0.25
02092020180504,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.018017759546637535,1.569229607412126e-05,0.004745877347886562,4.531238665533843e-12,3.796507626700723,3.9492757320404053,0.007879168726503849,3.000858896484715e-06,0.002075372962281108,8.664813658243453e-13,3.796507360220982,2.5,0.625,4.0,0.25
02092020180656,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.0179875697940588,3.7693005197070306e-06,0.00413444172590971,1.0007064332739901e-07,4.350664729734691,4.338956832885742,2.397896969341673e-05,6.6984885520315895e-12,5.511563358595595e-06,1.7783727778147157e-13,4.350665706495086,2.5,0.625,4.0,0.25
02092020181046,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.020137259736657143,6.277107306162932e-11,0.004668200388550758,4.253259646702645e-07,4.313709365614605,4.236323833465576,2.1657815523212776e-05,7.261929108932867e-17,5.020694061386166e-06,4.919835697690667e-13,4.313709470923878,2.5,0.625,4.0,0.25
02092020181124,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.018195444718003273,8.20127115730429e-06,0.0050565628334879875,8.765134207637179e-14,3.5983820071414323,3.543954849243164,1.3233375549316406,0.0433807410299778,0.3677590489387512,4.638278650048733e-10,3.5983820350591484,2.5,0.625,4.0,0.25
02092020181202,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.018254676833748817,7.724332135694567e-06,0.004568682052195072,5.2009277169418056e-06,3.995611124870938,3.8333780765533447,0.009450799785554409,2.070378968710429e-06,0.002365295309573412,1.394021751366381e-06,3.9956109274401297,2.5,0.625,4.0,0.25
02092020181240,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.016987020149827003,6.623681656492408e-06,0.004424321465194225,4.6317483182178876e-10,3.8394633580454087,3.9327943325042725,0.003722933353856206,3.181526722073613e-07,0.000969649467151612,2.224754061530554e-11,3.8394631049429506,2.5,0.625,4.0,0.25
02092020181318,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.007246377412229776,0.0,0.007246376946568489,0.0,1.0000000642612565,1.0,46.60282897949219,0.0,46.60282516479492,0.0,1.0000000818554937,2.5,0.625,4.0,0.25
02092020181356,4,0.2,0.8,0.5,0.5,256,64,0,yes,0.007246376480907202,0.0,0.007246377412229776,0.0,0.9999998714774954,1.0,2.4014129638671875,0.0,2.4014132022857666,0.0,0.9999999007173864,2.5,0.625,4.0,0.25
